factor,target,n,spearman,p_value,q_value,r2,significant
Step19_R3,FR_BRIDGE,2559,-0.12829357713791292,7.332522954504901e-11,8.723173859669625e-11,0.016459241934841613,False
Step23_R1,FR_SHORT,2723,0.12801276408691,2.020373837091984e-11,2.5113314969709553e-11,0.016387267769170877,False
Step10_R1,FR_OPEN,2686,0.12666575992720863,4.453247092517151e-11,5.3914553599723666e-11,0.01604421473793725,False
Step12_R1,FR_OPEN,2611,0.12665759412416475,8.302459386495702e-11,9.834672921342548e-11,0.016042146149321652,False
Step09_R1,FR_BRIDGE,2642,0.12641095823122295,6.999378199971095e-11,8.362893433731697e-11,0.015979730360935994,False
Step21_R2,FR_BRIDGE,2707,-0.1261580992039159,4.483150419442801e-11,5.4032729946122843e-11,0.015915865994745086,False
Step14_R1,FR_SHORT,2627,0.12615028737946174,8.66377604081323e-11,1.0218812766087398e-10,0.015913895005920786,False
Step13_R1,FR_VOID,2639,-0.12545820050996312,9.966895633262566e-11,1.1656199977883339e-10,0.01573976007519811,False
Step21_R1,FR_SHORT,2674,0.12480514862285182,9.413428429285424e-11,1.105577126162884e-10,0.015576325122772131,False
Step17_R2,FR_SHORT,2662,-0.12332418980621343,1.722348729892168e-10,1.997345585925371e-10,0.015208855791358956,False
Step13_R1,FR_BRIDGE,2639,-0.12302212889044674,2.2842815018005689e-10,2.6269237270706546e-10,0.01513444419673769,False
Step18_R1,FR_OPEN,2740,-0.12247649701654388,1.2565658213690706e-10,1.4633424755184111e-10,0.015000492321443482,False
Step03_R2,FR_VOID,2645,-0.12163827583518315,3.470294734764456e-10,3.925415355717171e-10,0.014795870148156101,False
Step12_R2,FR_VOID,2707,0.12155928741955531,2.2212195002323566e-10,2.5650903015235586e-10,0.014776660357950057,False
Step21_R2,FR_OPEN,2707,-0.12132815756979874,2.403529253011377e-10,2.7412151811204135e-10,0.014720521819281912,False
Step21_R1,FR_BRIDGE,2674,0.1212141132850456,3.2088072547791937e-10,3.644571202959084e-10,0.014692861259479868,False
Step16_R1,FR_OPEN,2597,-0.12109100601112122,5.989299238700576e-10,6.719701584883574e-10,0.014663031736785395,False
Step01_R1,FR_BRIDGE,2633,0.12098212030206691,4.728280012697096e-10,5.326552177568974e-10,0.01463667343278379,False
Step18_R1,FR_BRIDGE,2740,-0.12066560437779478,2.350054330488506e-10,2.6913485278623555e-10,0.014560188079858486,False
Step21_R2,FR_VOID,2707,-0.11775183836429737,7.993821643886697e-10,8.932367504909831e-10,0.013865495438171614,False
Step23_R2,FR_OPEN,2667,0.11708314663482694,1.3231594099279175e-09,1.4725483755649405e-09,0.013708463225912387,False
Step16_R1,FR_SHORT,2597,-0.1161417956457025,2.9219678650857574e-09,3.213000520970793e-09,0.01348891669580812,False
Step08_R1,FR_SHORT,2627,-0.11580261604932941,2.6393324164685474e-09,2.9138229877812767e-09,0.013410245883868407,False
Step08_R2,FR_VOID,2711,0.11554198094928074,1.6054896153969624e-09,1.7795788508014522e-09,0.013349949361683953,False
Step13_R1,FR_OPEN,2639,-0.11459703804637895,3.5553337152091837e-09,3.893936926181487e-09,0.013132481129003226,False
Step24_R1,FR_VOID,2574,-0.11440066630424098,5.871729140261258e-09,6.305825847128822e-09,0.013087512450854297,False
Step16_R1,FR_BRIDGE,2597,-0.11382181652218384,6.0068798393956655e-09,6.425964479353503e-09,0.012955405916409684,False
Step21_R1,FR_OPEN,2674,0.11342078756652224,4.070156864001486e-09,4.422690135686654e-09,0.012864275052210166,False
Step08_R2,FR_BRIDGE,2711,0.11266711175886128,4.046033293690388e-09,4.413854502207696e-09,0.012693878072083737,False
Step17_R2,FR_OPEN,2662,-0.11251810754192643,5.846491720607018e-09,6.303248886279441e-09,0.01266032452481652,False
Step12_R1,FR_BRIDGE,2611,0.11249644555372407,8.21974230994313e-09,8.725572605939631e-09,0.012655450262222003,False
Step15_R1,FR_OPEN,2661,0.11222242989787418,6.4518083725030025e-09,6.8752861421267516e-09,0.012593873772183285,False
Step11_R1,FR_VOID,2597,-0.11183682827082941,1.1003894363616623e-08,1.1636302085663555e-08,0.01250747615767899,False
Step23_R1,FR_BRIDGE,2723,0.11168469044364705,5.108891642524635e-09,5.529623895438429e-09,0.012473470079493267,False
Step11_R1,FR_OPEN,2597,-0.10958479110132266,2.159589857293981e-08,2.2749877885997663e-08,0.012008826440720526,False
Step13_R1,FR_SHORT,2639,-0.10653740901695273,4.1118212843992787e-08,4.315067203400003e-08,0.01135021952004548,False
Step24_R1,FR_SHORT,2574,-0.10626080342917442,6.52487278122148e-08,6.82145790764064e-08,0.011291358345413645,False
Step04_R1,FR_OPEN,2632,-0.10469236158061944,7.313988546792796e-08,7.617588071376648e-08,0.010960490573327162,False
Step08_R1,FR_VOID,2627,-0.10294598456044692,1.2368519551234538e-07,1.2785435940601993e-07,0.010597875737119775,False
Step08_R2,FR_OPEN,2711,0.10265345788702132,8.48141444133179e-08,8.800264608299152e-08,0.01053773241616246,False
Step16_R1,FR_VOID,2597,-0.10253611424780555,1.635523461582678e-07,1.6780835516610378e-07,0.010513654725039033,False
Step12_R3,FR_BRIDGE,2633,-0.10236372323120654,1.4102833524711454e-07,1.452381362992672e-07,0.010478331833755055,False
Step15_R1,FR_VOID,2661,0.10059611173842704,1.9929363582759657e-07,2.0372238329043205e-07,0.010119577696890099,False
Step08_R1,FR_OPEN,2627,-0.09994089049163064,2.8544180814061386e-07,2.9070826216534844e-07,0.009988181592260108,False
Step24_R1,FR_OPEN,2574,-0.0995380389771544,4.1894756025982637e-07,4.251085537930591e-07,0.009907821203417507,False
Step11_R1,FR_BRIDGE,2597,-0.09767465727184232,6.128992392024904e-07,6.19634395677243e-07,0.009540338673171861,False
Step12_R3,FR_SHORT,2633,-0.09165000033977644,2.47111837047189e-06,2.4891557308402977e-06,0.00839972256228102,False
Step21_R1,FR_VOID,2674,0.08819206260552229,4.941755941230079e-06,4.959725962834552e-06,0.007777839906616363,False
Step08_R1,FR_BRIDGE,2627,-0.0864801403852287,9.051050103584844e-06,9.051050103584844e-06,0.0074788146810488626,False
